experiment_num,dataset,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
6,CARSALES,1~(00.99978 64.32816 16.64541 04.15190 63.58729 33.90353 86.21380 36.52495 68.58533 88.14416):sarima;(01.00552 44.16564 88.14416 45.01044 51.90363 87.29333 03.53725 04.51436 22.95968 85.33388):mlp,0.0007258028192056465,0.026940727889306303,0.9803433080650302,0.036083614964700424,0.18995687659229507,-0.03254301904740231,0.07826569075347226,0.2797600592534114,-1.2178521202300487,23.966559171676636,0.5920050144195557,75.75,282.6875
7,CARSALES,1~(00.99989 18.47545 18.72233 47.47032 12.59598 47.82738 76.62864 61.62596 10.69968 84.03285):sarima;(01.01603 45.91820 19.15593 87.47851 82.70120 18.16820 69.20991 85.45296 89.67072 04.90291):mlp,0.0007271748027567165,0.026966178868291973,0.9803061510613791,0.036599611209131105,0.19131024857317788,-0.047308399970649395,0.07964265501972184,0.28221030282348275,-1.25687181184693,23.183093786239624,0.5712380409240723,0.625,283.4375
8,CARSALES,1~(01.00139 35.36116 28.26103 14.02310 17.79526 82.16501 78.37935 15.06999 56.88152 92.27159):sarima;(01.00466 54.02310 15.04664 29.92273 93.35010 47.22010 66.05402 33.58611 72.82610 41.40231):mlp,0.0007254485060181164,0.026934151295671383,0.9803529038188513,0.03618005758847506,0.1902105611906843,-0.03530275246143355,0.07839355655878985,0.279988493618559,-1.2214755143980223,23.10539484024048,0.5855059623718262,1.09375,283.6875
9,CARSALES,1~(00.99999 99.30191 20.14034 46.60226 62.05901 66.11936 15.82804 61.61580 85.73072 92.87661):sarima;(01.00375 28.04561 15.80585 30.72992 76.71352 10.03742 14.03094 60.22346 07.15458 73.07299):mlp,0.0007257519322483553,0.02693978344843097,0.9803446862206622,0.03601680968133816,0.18978095184011004,-0.03063136665230104,0.07806898766854123,0.2794082813170383,-1.2122780513146636,23.83566188812256,0.5775129795074463,5.0625,281.546875
10,CARSALES,1~(01.00160 78.19310 62.09321 35.30697 94.30142 81.58914 24.04066 67.72272 32.95214 19.99935):sarima;(01.00460 67.72272 33.92838 00.99914 04.59423 00.32085 33.20350 26.96200 99.99353 62.71947):mlp,0.0007254530561947836,0.026934235764075127,0.9803527805878324,0.03619525435767606,0.19025050422449885,-0.03573761238236761,0.07841710383824763,0.28003054090268015,-1.222142784860575,23.307979106903076,0.572641134262085,3.453125,285.0625
11,CARSALES,1~(01.00142 00.23124 24.51114 01.89593 66.68573 94.91489 11.04895 75.31140 18.97932 66.85931):sarima;(01.00500 00.04001 57.31949 48.93110 89.59753 14.00189 93.26668 53.11000 00.50010 04.00189):mlp,0.0007254496836825018,0.026934173157579976,0.9803528719245332,0.03619894171199434,0.19026019476494377,-0.03584312708658488,0.07844182611218661,0.2800746795270622,-1.2228433517008424,22.738719940185547,0.5191569328308105,0.015625,285.140625
12,CARSALES,1~(01.00136 43.87291 73.81392 74.01802 07.50671 73.01948 68.52758 48.49060 44.50774 55.96106):sarima;(01.00479 67.30148 40.18021 75.06719 30.19484 01.44560 84.70603 47.07740 59.61065 10.10040):mlp,0.0007254487822795903,0.026934156424131616,0.9803528963369478,0.03618371407991961,0.19022017264191413,-0.035407384015643695,0.07840584339886489,0.2800104344464057,-1.221823692431705,23.741430044174194,0.5650050640106201,2.546875,287.71875
13,CARSALES,1~(00.99999 74.29112 55.63523 35.62268 07.43272 59.52042 63.83846 60.43547 84.03633 54.33907):sarima;(01.00518 56.35230 56.22684 74.32729 78.97775 33.90754 01.00512 71.24019 02.15440 00.59247):mlp,0.000725718377564376,0.026939160669263176,0.9803455949717286,0.036085200797287595,0.18996105073748037,-0.03258839810293401,0.07825292606112663,0.2797372446799436,-1.2174904010691971,23.40043592453003,0.5649738311767578,0.09375,287.765625
14,CARSALES,1~(01.01200 78.71941 42.81575 82.73105 83.49104 98.46987 20.19491 91.39481 04.85553 85.30019):sarima;(01.00100 03.40816 03.98467 01.05204 55.99413 83.16905 53.04655 94.13783 68.53001 57.90100):mlp,0.0007403217075053236,0.02720885347649407,0.9799500975304427,0.036949242508042074,0.19222185751896706,-0.05731320013504981,0.07954331988241908,0.282034253030406,-1.2540569047943082,23.46195888519287,0.5880260467529297,0.0,287.734375
15,CARSALES,1~(00.99999 37.71914 24.71413 69.22754 09.17524 79.59328 63.09797 52.20262 37.34482 62.21466):sarima;(00.99999 22.14463 20.09786 14.62492 75.43091 12.48305 61.24873 86.27163 07.97793 02.06637):mlp,0.000726086953428627,0.026946000694511738,0.9803356129462714,0.03583757751897925,0.18930815491937808,-0.02550258678327988,0.0775866535849047,0.27854380909455645,-1.1986099208764864,24.808515787124634,0.6127619743347168,194.96875,285.890625
